
id,conversation_id,pet_id
1,1,77730
2,2,77729
3,3,77728
4,3,77727
5,4,77728
6,4,77727
7,5,77725
8,6,77724
9,7,77721
10,8,77720
11,8,77719
12,9,77718
13,10,77717
14,11,77715
15,11,77716
16,12,77715
17,12,77716
18,13,77713
19,13,77714
20,14,77712
21,14,77710
22,14,77711
23,15,77708
24,15,77709
25,16,77706
26,16,77707
27,17,77705
28,18,77704
29,18,77703
30,19,77697
31,20,77696
32,21,77695
33,22,77693
34,22,77694
35,23,77692
36,24,77689
37,24,77690
38,24,77691
39,25,77687
40,26,77686
41,27,77685
42,28,77684
43,29,77684
44,30,77684
45,31,77683
46,32,77681
47,32,77682
48,33,77680
49,33,77678
50,33,77679
51,34,77675
52,34,77676
53,35,77674
54,36,77672
55,37,77670
56,37,77671
57,38,77666
58,38,77667
59,38,77668
60,39,77663
61,40,77661
62,40,77662
63,41,77659
64,41,77660
65,42,77658
66,43,77657
67,44,77657
68,45,77656
69,45,77654
70,45,77655
71,46,77656
72,46,77654
73,46,77655
74,47,77651
75,48,77648
76,48,77649
77,48,77650
78,49,77647
79,50,77645
80,50,77646
81,51,77644
82,52,77643
83,53,77642
84,54,77642
85,55,77640
86,55,77641
87,56,77639
88,57,77638
89,58,77637
90,59,77636
91,60,77635
92,61,77635
93,62,77632
94,62,77633
95,62,77631
96,63,77630
97,64,77625
98,64,77626
99,65,77624
100,65,77623
101,66,77622
102,67,77621
103,68,77617
104,68,77618
105,68,77619
106,69,77616
107,69,77615
108,70,77614
109,71,77613
110,72,77612
111,73,77611
112,74,77611
113,75,77610
114,76,77610
115,77,77608
116,78,77606
117,78,77607
118,79,77604
119,80,77603
120,81,77602
121,82,77599
122,83,77599
123,84,77598
124,85,77597
125,86,77595
126,87,77593
127,87,77594
128,88,77589
129,88,77590
130,89,77587
131,90,77586
132,91,77585
133,92,77584
134,93,77583
135,94,77582
136,95,77582
137,96,77581
138,97,77578
139,97,77579
140,97,77580
141,98,77576
142,98,77577
143,99,77575
144,100,77575
145,101,77573
146,101,77574
147,102,77573
148,102,77574
149,103,77572
150,104,77570
151,105,77568
152,105,77567
153,106,77566
154,107,77565
155,108,77562
156,108,77563
157,108,77564
158,109,77560
159,109,77561
160,109,77559
161,110,77558
162,111,77556
163,111,77557
164,112,77555
165,113,77553
166,113,77554
167,114,77552
168,115,77550
169,115,77551
170,116,77547
171,116,77548
172,116,77549
173,117,77546
174,118,77544
175,118,77545
176,119,77541
177,119,77542
178,119,77543
179,120,77537
180,120,77538
181,121,77536
182,122,77533
183,122,77534
184,122,77535
185,123,77529
186,123,77530
187,124,77528
188,125,77528
189,126,77527
190,127,77524
191,127,77525
192,127,77526
193,128,77522
194,129,77521
195,130,77520
196,131,77519
197,132,77518
198,133,77516
199,133,77517
200,134,77512
201,134,77513
202,135,77512
203,135,77513
204,136,77511
205,137,77510
206,138,77509
207,139,77508
208,140,77508
209,141,77507
210,142,77506
211,143,77505
212,144,77504
213,144,77502
214,144,77503
215,145,77501
216,146,77499
217,146,77500
218,147,77498
219,148,77497
220,149,77496
221,149,77494
222,149,77495
223,150,77493
224,151,77491
225,151,77492
226,152,77490
227,153,77488
228,153,77489
229,154,77486
230,155,77485
231,156,77481
232,157,77478
233,158,77475
234,158,77476
235,158,77477
236,159,77472
237,159,77473
238,159,77474
239,160,77472
240,160,77473
241,160,77474
242,161,77471
243,162,77471
244,163,77469
245,163,77470
246,164,77468
247,165,77468
248,166,77467
249,167,77467
250,168,77466
251,169,77464
252,169,77465
253,169,77463
254,170,77464
255,170,77465
256,170,77463
257,171,77458
258,172,77456
259,172,77457
260,173,77454
261,173,77455
262,174,77453
263,175,77451
264,176,77450
265,177,77450
266,178,77448
267,178,77449
268,179,77447
269,180,77446
270,181,77446
271,182,77444
272,183,77442
273,183,77443
274,184,77438
275,185,77436
276,185,77437
277,186,77433
278,186,77434
279,186,77435
280,187,77432
281,187,77431
282,188,77429
283,188,77430
284,189,77426
285,189,77427
286,189,77428
287,190,77424
288,190,77425
289,190,77423
290,191,77419
291,192,77417
292,192,77418
293,193,77416
294,194,77414
295,194,77415
296,195,77412
297,195,77413
298,196,77411
299,197,77409
300,198,77406
301,198,77407
302,199,77403
303,199,77404
304,199,77405
305,200,77401
306,200,77402
307,201,77400
308,202,77399
309,203,77398
310,204,77397
311,205,77393
312,205,77394
313,206,77392
314,207,77388
315,207,77389
316,208,77387
317,209,77384
318,210,77383
319,211,77382
320,212,77381
321,213,77381
322,214,77378
323,214,77379
324,214,77380
325,215,77377
326,216,77376
327,216,77375
328,217,77373
329,218,77371
330,218,77372
331,219,77371
332,219,77372
333,220,77369
334,220,77370
335,221,77368
336,222,77366
337,222,77367
338,223,77365
339,224,77364
340,225,77361
341,225,77362
342,225,77363
343,226,77360
344,227,77358
345,227,77359
346,228,77356
347,228,77357
348,229,77354
349,229,77355
350,230,77354
351,230,77355
352,231,77353
353,232,77349
354,233,77347
355,233,77348
356,234,77346
357,235,77344
358,235,77345
359,236,77344
360,236,77345
361,237,77341
362,237,77342
363,237,77343
364,238,77340
365,239,77339
366,240,77338
367,241,77336
368,241,77337
369,242,77335
370,243,77333
371,243,77334
372,244,77332
373,245,77331
374,246,77331
375,247,77329
376,247,77330
377,248,77328
378,249,77326
379,249,77327
380,250,77323
381,250,77324
382,250,77325
383,251,77320
384,251,77321
385,251,77322
386,252,77319
387,253,77318
388,254,77316
389,254,77317
390,255,77314
391,256,77312
392,256,77313
393,256,77311
394,257,77312
395,257,77313
396,257,77311
397,258,77309
398,258,77310
399,259,77308
400,260,77307
401,261,77306
402,262,77304
403,263,77304
404,264,77303
405,265,77301
406,265,77302
407,266,77300
408,267,77297
409,267,77298
410,267,77299
411,268,77296
412,269,77295
413,270,77294
414,271,77293
415,272,77291
416,273,77291
417,274,77290
418,275,77288
419,275,77289
420,276,77286
421,276,77287
422,277,77285
423,278,77282
424,279,77282
425,280,77278
426,281,77275
427,281,77276
428,281,77277
429,282,77274
430,283,77273
431,284,77267
432,284,77268
433,285,77261
434,285,77262
435,285,77263
436,286,77259
437,286,77260
438,287,77257
439,287,77258
440,288,77254
441,289,77252
442,289,77253
443,290,77250
444,290,77251
445,291,77248
446,291,77249
447,291,77247
448,292,77245
449,293,77244
450,294,77242
451,294,77243
452,295,77242
453,295,77243
454,296,77241
455,297,77241
456,298,77238
457,299,77236
458,299,77237
459,300,77233
460,300,77234
461,301,77232
462,302,77230
463,302,77231
464,303,77228
465,303,77229
466,304,77227
467,305,77226
468,306,77225
469,307,77224
470,307,77222
471,307,77223
472,308,77220
473,308,77221
474,309,77218
475,310,77217
476,311,77216
477,311,77215
478,312,77213
479,312,77214
480,313,77212
481,314,77209
482,314,77210
483,314,77211
484,315,77208
485,316,77208
486,317,77205
487,317,77206
488,317,77207
489,318,77204
490,319,77204
491,320,77202
492,320,77203
493,321,77198
494,322,77197
495,323,77196
496,324,77194
497,325,77192
498,325,77193
499,326,77190
500,326,77191
501,327,77187
502,327,77188
503,327,77189
504,328,77186
505,329,77184
506,330,77183
507,331,77178
508,331,77179
509,331,77180
510,332,77176
511,332,77177
