
id,content,stars,conversation_id,reviewer_id
1,"Netus proin per duis dolor venenatis nam.",1,7,64386
2,"Dolor proin donec phasellus ve suspendisse ac nullam dis potenti.",5,9,64384
3,"Proin ipsum urna nisl egestas justo class a arcu in odio ac.",5,11,64382
4,"Porta velit lectus varius donec tellus sollicitudin convallis class.",1,13,64381
5,"Dolor felis.",2,15,64379
6,"Risus justo risus blandit iaculis.",5,19,64373
7,"Porta proin ridiculus vestibulum gravida orci vehicula nulla mi velit sollicitudin fames id hendrerit.",5,19,11942
8,"Metus ipsum.",5,25,64366
9,"Dolor netus nec.",2,26,64365
10,"Fusce class non primis duis eros potenti ac.",3,26,12441
11,"Curae dolor nec massa sem urna aliquam a scelerisque.",5,33,64360
12,"Felis velit sit vestibulum porta aliquet.",5,35,64357
13,"Class dolor condimentum ve tortor pharetra eros aptent viverra per accumsan a pellentesque.",5,35,6906
14,"Netus ipsum lacus nibh.",5,36,64355
15,"Justo netus magna sed ultricies dictum interdum parturient rutrum mi ac mollis.",5,38,64352
16,"Morbi velit.",5,38,2599
17,"Porta ipsum.",5,39,64350
18,"Curae dolor magnis.",5,42,64347
19,"Fusce magna primis ve laoreet duis nec ipsum.",5,42,6575
20,"Class felis porttitor dolor ac ante.",3,43,8724
21,"Metus morbi primis adipiscing consectetuer.",1,49,8040
22,"Donec metus.",5,52,64338
23,"Porta justo enim est etiam odio.",5,53,64337
24,"Netus ipsum lacinia tristique mollis cras nisi habitant ullamcorper vehicula eget mi.",4,68,64321
25,"Neque justo netus.",4,70,64319
26,"Neque curae.",5,74,64316
27,"Ipsum augue hendrerit erat posuere eu dictumst quam sed felis pede.",5,84,64305
28,"Curae velit duis eni quisque et at.",5,84,8762
29,"Metus lacus per ornare potenti egestas hymenaeos.",2,85,64304
30,"Nulla class.",5,86,64302
31,"Nulla risus lacinia ligula morbi semper vulputate adipiscing iaculis sed ad mattis eros dui justo.",3,91,64295
32,"Justo dolor felis dui velit vitae nascetur amet.",1,98,10755
33,"Felis lacus commodo.",1,99,64288
34,"Vitae curae proin senectus eni porta erat a nunc.",2,99,3365
35,"Velit morbi netus.",5,108,64279
36,"Etiam lacus.",5,109,64278
37,"Magna lacus.",3,111,8528
38,"Purus massa congue.",4,112,64275
39,"Justo etiam velit dictumst nisi integer.",5,115,64272
40,"Justo fames netus est iaculis nostra est laoreet facilisi enim elementum congue.",5,121,64264
41,"Metus proin a quam risus et varius ante tempor aptent sociosqu.",5,123,64261
42,"Fusce class eget scelerisque.",5,123,11959
43,"Etiam netus nullam.",5,124,64260
44,"Lorem dolor.",5,126,64259
45,"Class dolor diam a elit vestibulum.",1,126,8363
46,"Morbi class etiam enim morbi natoque justo eget bibendum donec.",4,127,64258
47,"Morbi class orci lorem fringilla vulputate.",5,130,64254
48,"Massa purus a lectus orci auctor vivamus ut eleifend.",5,134,64249
49,"Nulla donec odio porta porttitor aliquam consectetuer nullam auctor.",5,135,64249
50,"Purus velit.",5,135,4388
51,"Netus proin varius quam montes ad elit id metus et mattis.",5,139,4163
52,"Felis risus a commodo eu nulla tellus quam quisque euismod ipsum.",5,141,64244
53,"Vitae magna.",5,142,64243
54,"Netus velit inceptos nisl pretium at massa.",5,146,64239
55,"Felis curae natoque est ad a mollis.",5,152,64233
56,"Curae donec vel nisi amet tortor nostra vulputate turpis in.",5,165,64220
57,"Porta risus ullamcorper nibh cursus.",3,167,64219
58,"Etiam nulla quam nam nisi integer in eros litora.",4,169,64217
59,"Velit nulla.",5,170,64217
60,"Velit class lacus diam nunc metus blandit taciti est commodo.",2,177,64208
61,"Lorem metus ligula.",5,182,64203
62,"Donec risus mattis in sodales ut diam placerat justo laoreet elit.",5,190,64193
63,"Etiam lorem sit platea.",5,203,64177
64,"Fusce nulla condimentum ad varius leo et lacus.",5,203,2932
65,"Justo neque lacus suspendisse faucibus tristique nibh posuere id quis class.",5,204,64176
66,"Neque morbi vel nisl ante per consequat orci.",2,204,3970
67,"Velit morbi.",5,206,64172
68,"Augue magna varius tempus non nisl sociosqu laoreet amet faucibus malesuada.",5,214,64162
69,"Class risus elit.",2,216,64160
70,"Proin fames placerat pede nisi fermentum sed aliquam senectus cursus sociosqu parturient.",5,216,12112
71,"Massa ipsum.",5,219,64157
72,"Justo lorem scelerisque interdum dignissim nec.",4,226,64150
73,"Morbi proin turpis in curae pede morbi aliquet lectus ut.",5,226,8431
74,"Risus justo.",3,227,64149
75,"Lacus augue.",5,230,64147
76,"Metus netus.",5,233,64142
77,"Justo ipsum pretium ve sodales diam in odio interdum ultrices gravida.",5,234,64141
78,"Magna dolor.",3,241,11232
79,"Fames neque rutrum vitae rhoncus.",5,244,64132
80,"Risus etiam.",5,245,64131
81,"Netus fames quam a urna vitae nibh sit mus natoque est sagittis class.",5,247,64130
82,"Etiam felis sapien rhoncus commodo imperdiet rutrum pede.",2,250,64127
83,"Purus dolor non pede parturient ornare duis rutrum litora quis.",5,250,5110
84,"Curae porta sagittis.",5,252,64125
85,"Purus lacus.",4,254,64123
86,"Metus purus interdum.",5,254,6708
87,"Proin nulla neque integer proin nec.",5,258,64119
88,"Magna lorem velit quam metus justo dictum.",5,258,11761
89,"Netus porta dictum ut vel facilisis duis rhoncus ad justo ve vehicula feugiat mauris.",5,259,64118
90,"Felis massa.",1,262,64114
91,"Porta neque tincidunt hac consectetuer magnis vitae.",5,267,64110
92,"Donec curae facilisis tristique magna eni ligula conubia.",1,269,64108
93,"Etiam magna orci tristique interdum ligula.",5,273,64104
94,"Magna augue viverra arcu bibendum sollicitudin aptent lorem vivamus tempor est aenean.",5,276,64101
95,"Lacus massa cursus nec torquent a vehicula nunc gravida quisque nostra magna dignissim molestie.",3,277,64100
96,"Fames lacus natoque tempor arcu et odio urna pulvinar mus pede bibendum.",5,278,64098
97,"Risus lorem auctor.",3,279,64098
98,"Nulla neque scelerisque volutpat orci dis.",5,285,64087
99,"Ipsum fames.",5,287,8885
100,"Risus lacus purus neque montes tellus nascetur gravida.",5,289,64082
101,"Curae lorem.",5,293,64077
102,"Class velit quam.",5,296,64075
103,"Fames vitae a egestas mattis hac platea.",5,299,64072
104,"Neque lorem nonummy venenatis.",5,302,64068
105,"Fusce morbi amet leo nisl eros gravida.",2,304,64066
106,"Lorem netus eni quis.",5,307,64063
107,"Vitae curae.",5,309,64060
108,"Risus ipsum morbi mauris.",3,309,11352
109,"Magna velit ultrices augue nascetur ac vitae libero lobortis scelerisque molestie phasellus nisi rhoncus.",1,310,64059
110,"Massa netus nullam proin nam enim litora nonummy viverra litora cum.",1,310,5736
111,"Felis nulla tortor molestie per euismod est tortor id.",5,314,64055
112,"Fusce etiam felis.",5,315,64054
113,"Justo metus posuere in nunc netus.",5,316,5056
114,"Justo dolor.",5,321,12402
115,"Augue porta rutrum eni mus vel non consectetuer cursus ut.",5,322,64048
116,"Vitae lacus dapibus lectus.",5,326,64043
117,"Lacus etiam ullamcorper non ad posuere enim tristique dictum a.",3,326,11890
118,"Nulla justo faucibus ante commodo libero cum rutrum sed odio donec.",5,329,64039
119,"Vitae dolor.",5,331,64036
120,"Ipsum porta dis.",5,331,5616
121,"Purus augue congue molestie suspendisse non ad a.",5,339,64027
122,"Risus morbi.",2,342,64024
123,"Felis magna blandit vitae vestibulum condimentum lectus.",4,344,64021
124,"Dolor fames dolor sit urna sagittis lorem imperdiet ante per.",1,347,64019
125,"Netus vitae.",5,347,1352
126,"Neque magna suscipit hac primis penatibus ad ultricies magna id a amet ac nibh pharetra risus egestas molestie.",5,350,64014
127,"Fames donec a pede proin.",5,352,64012
128,"Lorem risus quis tempus.",5,356,64007
129,"Justo donec quisque cursus ut felis purus luctus ligula sagittis diam.",5,359,64004
130,"Purus donec amet tristique eleifend nisi rutrum.",5,361,64002
131,"Curae metus pede penatibus in erat lorem aliquam senectus donec.",5,364,63999
132,"Risus metus dictumst vitae morbi inceptos odio.",5,366,63997
133,"Massa justo tempor amet donec sapien varius nulla per.",2,368,63995
134,"Netus augue.",5,370,63993
135,"Curae purus.",5,383,63979
136,"Justo fusce litora ac.",5,384,63979
137,"Felis porta lobortis.",5,388,63974
138,"Lacus porta aptent vestibulum purus.",5,390,63973
139,"Nulla proin bibendum parturient auctor facilisi vestibulum tellus donec adipiscing scelerisque primis ad.",5,391,63972
140,"Morbi nulla litora mi ultrices maecenas.",5,394,63969
141,"Donec dolor condimentum erat amet mus neque vulputate ornare interdum eni.",1,397,63967
142,"Class fames.",1,397,2708
143,"Morbi lorem congue ante gravida fermentum mi venenatis.",5,402,63961
144,"Massa augue taciti netus mus elit metus.",4,402,5175
145,"Curae metus.",3,412,63950
146,"Donec metus magnis turpis velit non nibh.",2,417,63944
147,"Etiam magna rhoncus dolor mi platea.",5,419,63941
148,"Velit fusce cras imperdiet eni integer et eget tempor adipiscing nulla ante a elit.",3,419,4637
149,"Donec lorem.",5,420,63940
150,"Justo lorem montes morbi cubilia taciti.",1,436,63914
151,"Purus class nunc vel.",5,437,5478
152,"Netus velit feugiat urna sem morbi.",5,440,63910
153,"Purus lorem mollis lorem aliquet eget natoque ad mauris mi id nisi nisl pharetra hymenaeos sollicitudin.",5,442,63906
154,"Felis velit nec nunc senectus a.",5,446,63903
155,"Neque purus.",5,449,63899
156,"Velit massa.",5,450,63898
157,"Morbi dolor nunc porttitor platea vehicula tempus sociis metus.",2,453,63894
158,"Augue velit.",5,454,63892
159,"Ipsum netus maecenas vestibulum fringilla purus.",5,460,63886
160,"Morbi neque.",5,460,7335
161,"Dolor netus a arcu purus tristique nullam facilisi eros dis.",5,461,63886
162,"Dolor fames.",5,461,7922
163,"Massa etiam.",5,467,63880
164,"Massa velit sem orci eni blandit sapien sem eget justo commodo imperdiet.",5,467,5785
165,"Risus class a nisl.",1,468,63879
166,"Morbi massa pulvinar ipsum id cursus suscipit ullamcorper.",5,471,63877
167,"Felis proin.",5,474,63872
168,"Etiam lacus sapien turpis per eros sed eni sed.",5,476,63869
169,"Vitae ipsum.",5,483,63859
170,"Nulla magna.",2,493,63847
171,"Neque augue mollis at quam scelerisque ve mattis.",5,500,63839
172,"Fames proin.",5,503,63836
173,"Risus metus pulvinar.",2,509,63830
174,"Massa class cubilia proin eget eleifend aliquet justo urna litora leo.",4,515,10949
175,"Neque proin felis aptent parturient fusce.",5,518,63818
176,"Fusce purus suspendisse diam mauris lacinia et ad dis lacus.",5,519,63817
177,"Fusce velit ipsum.",5,519,10998
178,"Felis metus ligula placerat magna habitasse volutpat id suspendisse amet penatibus.",5,520,1699
