
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
1,boarding,strict,1,1,1,1,0,1,1,1,4,1,0.15,35,"2016-08-02 14:59:15.095591"
2,dog-walking,strict,1,0,1,1,0,0,1,1,5,1,0.15,26,"2016-08-02 14:59:15.095591"
3,boarding,moderate,0,0,1,0,0,0,1,1,2,2,0.15,31,"2016-08-02 18:15:30.105940"
4,dog-walking,strict,1,0,1,0,1,0,0,1,5,2,0.15,27,"2016-08-02 18:15:30.105940"
5,day-care,strict,1,0,1,1,0,1,1,1,5,2,0.15,30,"2016-08-02 18:15:30.105940"
6,dog-walking,flexible,1,0,1,0,1,1,0,1,7,3,0.15,20,"2016-08-02 16:11:09.542004"
7,dog-walking,strict,0,1,0,0,1,1,1,1,7,4,0.15,20,"2016-08-02 18:02:40.389299"
8,day-care,flexible,1,0,1,0,1,1,1,1,4,4,0.15,24,"2016-08-02 18:02:40.389299"
9,boarding,strict,1,0,1,0,1,1,0,0,3,5,0.15,34,"2016-08-02 14:31:53.163034"
10,dog-walking,strict,1,0,1,0,1,1,0,1,2,5,0.15,20,"2016-08-02 14:31:53.163034"
11,day-care,strict,1,0,1,0,1,1,1,1,2,5,0.15,27,"2016-08-02 14:31:53.163034"
12,boarding,moderate,1,0,1,1,1,1,1,1,4,6,0.15,37,"2016-08-02 12:47:16.876553"
13,dog-walking,flexible,1,1,1,0,1,1,0,1,1,7,0.15,21,"2016-08-02 11:00:13.934802"
14,boarding,moderate,1,0,1,0,1,1,1,1,6,8,0.15,31,"2016-08-02 16:34:45.652757"
15,dog-walking,strict,1,1,0,1,1,1,1,1,5,8,0.15,23,"2016-08-02 16:34:45.652757"
16,day-care,flexible,1,0,1,0,1,0,0,0,2,8,0.15,32,"2016-08-02 16:34:45.652757"
17,dog-walking,moderate,1,0,1,0,1,1,1,1,4,9,0.15,21,"2016-08-02 10:14:31.431132"
18,day-care,strict,1,0,1,0,1,1,0,1,4,9,0.15,25,"2016-08-02 10:14:31.431132"
19,boarding,flexible,1,0,1,1,1,0,1,1,3,10,0.15,28,"2016-08-02 13:22:15.629846"
20,day-care,flexible,1,0,1,1,1,1,1,0,1,10,0.15,26,"2016-08-02 13:22:15.629846"
21,boarding,flexible,1,1,0,0,1,0,1,1,5,11,0.15,39,"2016-08-02 14:28:48.684708"
22,day-care,strict,1,0,1,1,1,1,0,0,1,11,0.15,22,"2016-08-02 14:28:48.684708"
23,boarding,moderate,1,1,1,0,0,1,0,0,2,12,0.15,35,"2016-08-02 16:35:43.810676"
24,dog-walking,moderate,1,0,0,0,1,1,0,0,3,12,0.15,22,"2016-08-02 16:35:43.810676"
